twolev_1,twolev_2,twolev_3,twolev_4,twolev_5,twolev_6,twolev_7,twolev_8,twolev_9,twolev_10,twolev_11,twolev_12,twolev_13,twolev_14,twolev_15,twolev_16,twolev_17,twolev_18,twolev_19,twolev_20,threelev_1,threelev_2,threelev_3,threelev_4,threelev_5,threelev_6,threelev_7,threelev_8,threelev_9,threelev_10,threelev_11,threelev_12,threelev_13,threelev_14,threelev_15,threelev_16,threelev_17,threelev_18,threelev_19,threelev_20,fourlev_1,fourlev_2,fourlev_3,fourlev_4,fourlev_5,fourlev_6,fourlev_7,fourlev_8,fourlev_9,fourlev_10,fourlev_11,fourlev_12,fourlev_13,fourlev_14,fourlev_15,fourlev_16,fourlev_17,fourlev_18,fourlev_19,fourlev_20,fivelev_1,fivelev_2,fivelev_3,fivelev_4,fivelev_5,fivelev_6,fivelev_7,fivelev_8,fivelev_9,fivelev_10,fivelev_11,fivelev_12,fivelev_13,fivelev_14,fivelev_15,fivelev_16,fivelev_17,fivelev_18,fivelev_19,fivelev_20,sixlev_1,sixlev_2,sixlev_3,sixlev_4,sixlev_5,sixlev_6,sixlev_7,sixlev_8,sixlev_9,sixlev_10,sixlev_11,sixlev_12,sixlev_13,sixlev_14,sixlev_15,sixlev_16,sixlev_17,sixlev_18,sixlev_19,sixlev_20,sevenlev_1,sevenlev_2,sevenlev_3,sevenlev_4,sevenlev_5,sevenlev_6,sevenlev_7,sevenlev_8,sevenlev_9,sevenlev_10,sevenlev_11,sevenlev_12,sevenlev_13,sevenlev_14,sevenlev_15,sevenlev_16,sevenlev_17,sevenlev_18,sevenlev_19,sevenlev_20,eightlev_1,eightlev_2,eightlev_3,eightlev_4,eightlev_5,eightlev_6,eightlev_7,eightlev_8,eightlev_9,eightlev_10,eightlev_11,eightlev_12,eightlev_13,eightlev_14,eightlev_15,eightlev_16,eightlev_17,eightlev_18,eightlev_19,eightlev_20,ninelev_1,ninelev_2,ninelev_3,ninelev_4,ninelev_5,ninelev_6,ninelev_7,ninelev_8,ninelev_9,ninelev_10,ninelev_11,ninelev_12,ninelev_13,ninelev_14,ninelev_15,ninelev_16,ninelev_17,ninelev_18,ninelev_19,ninelev_20,tenlev_1,tenlev_2,tenlev_3,tenlev_4,tenlev_5,tenlev_6,tenlev_7,tenlev_8,tenlev_9,tenlev_10,tenlev_11,tenlev_12,tenlev_13,tenlev_14,tenlev_15,tenlev_16,tenlev_17,tenlev_18,tenlev_19,tenlev_20,elevenlev_1,elevenlev_2,elevenlev_3,elevenlev_4,elevenlev_5,elevenlev_6,elevenlev_7,elevenlev_8,elevenlev_9,elevenlev_10,elevenlev_11,elevenlev_12,elevenlev_13,elevenlev_14,elevenlev_15,elevenlev_16,elevenlev_17,elevenlev_18,elevenlev_19,elevenlev_20,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,cont15,cont16,cont17,cont18,cont19,cont20,cont21,cont22,cont23,cont24,cont25,cont26,cont27,cont28,cont29,cont30,cont31,cont32,cont33,cont34,cont35,cont36,cont37,cont38,cont39,cont40,cont41,cont42,cont43,cont44,cont45,cont46,cont47,cont48,cont49,cont50,cont51,cont52,cont53,cont54,cont55,cont56,cont57,cont58,cont59,cont60,cont61,cont62,cont63,cont64,cont65,cont66,cont67,cont68,cont69,cont70,cont71,cont72,cont73,cont74,cont75,cont76,cont77,cont78,cont79,cont80,cont81,cont82,cont83,cont84,cont85,cont86,cont87,cont88,cont89,cont90,cont91,cont92,cont93,cont94,cont95,cont96,cont97,cont98,cont99,cont100,totalTargets,numMines,numNonMines,numUndetected,numDetected,numClassified,numMILCOS,numNOMBOS,numNotClassified,numFalseNeg,numFalsePos,completionTime
2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,3,1,3,1,2,2,2,3,2,1,2,2,1,1,3,1,4,1,1,4,1,3,4,4,1,1,1,2,4,1,2,4,1,1,1,4,1,3,3,5,1,1,2,1,1,4,5,1,3,1,2,4,6,1,2,1,3,1,6,5,1,4,6,4,6,5,6,4,4,4,4,1,6,3,3,7,3,7,2,5,5,2,3,3,3,4,5,2,6,2,7,1,5,5,8,4,8,3,1,3,2,5,5,1,1,4,5,5,7,1,5,3,4,2,2,4,6,2,5,9,8,2,8,3,4,8,8,4,4,5,4,6,10,3,8,3,8,8,3,9,3,3,8,3,3,3,3,3,8,8,8,1,3,8,8,2,2,8,8,2,8,8,8,8,8,8,8,8,5,2,2,3,35,6,6,105,384,419,150,286,488,418,498,370,81,472,375,280,45,264,174,430,419,302,173,118,264,418,137,86,450,184,232,45,252,281,107,287,40,325,153,250,486,441,423,4,47,261,296,40,210,184,351,33,264,30,222,391,139,103,79,178,185,41,432,485,231,47,469,66,466,416,357,106,372,148,181,312,77,479,219,206,9,161,367,416,233,471,2,273,264,473,466,20,212,409,485,148,231,203,173,391,1522,467.0,1055,0,1522.0,1522.0,467.0,1055.0,0.0,0.0,0.0,318951.44098036183
1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,3,2,2,2,2,1,2,1,3,1,1,1,2,1,1,2,1,2,2,1,2,4,2,2,2,2,1,2,3,4,4,1,1,1,2,1,4,2,1,2,5,5,2,2,2,2,3,2,5,2,5,1,2,1,4,4,3,4,6,6,4,3,4,6,3,5,3,3,5,1,6,3,3,2,4,1,3,5,5,3,3,3,1,5,3,3,3,3,4,2,1,3,7,2,5,1,1,5,2,4,5,5,2,8,3,8,1,2,1,8,8,5,5,6,8,7,5,2,9,8,8,7,1,9,2,7,2,2,8,2,2,2,2,2,7,3,3,8,7,4,6,10,4,4,4,10,4,4,9,4,4,10,4,4,4,4,8,10,10,2,8,2,8,3,2,8,10,2,8,8,6,2,11,2,3,2,8,8,278,428,93,487,382,62,173,254,391,314,397,314,77,92,215,156,295,425,236,413,8,305,69,468,206,227,77,67,320,337,150,369,460,435,264,163,258,359,441,133,323,391,191,331,150,439,235,175,339,291,206,384,337,310,16,439,305,132,424,127,250,378,91,359,495,440,365,206,206,227,206,36,149,34,192,425,83,460,47,397,424,320,468,128,31,431,220,305,440,390,18,288,222,338,364,81,117,294,264,394,1775,712.0,1063,2,1773.0,1773.0,712.0,1061.0,0.0,0.0,0.0,411721.48781272006
2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,3,3,1,2,3,2,2,3,1,1,2,3,2,1,2,2,1,2,1,2,1,2,2,2,1,2,3,1,3,2,4,1,1,4,3,3,4,3,3,1,5,5,1,5,2,5,1,4,4,3,1,5,2,2,1,4,4,4,4,1,6,1,4,2,3,3,1,4,1,2,3,5,4,5,4,5,1,2,1,4,4,1,2,7,7,4,2,1,4,6,4,4,7,6,4,5,6,1,3,5,4,3,5,7,3,2,3,1,8,3,7,8,3,3,8,6,3,6,9,8,8,2,9,2,1,8,8,2,8,9,2,8,2,2,2,8,2,8,3,3,10,1,3,3,3,9,2,3,3,3,3,3,3,3,3,3,2,3,3,8,8,8,8,8,8,8,2,3,8,2,8,8,2,2,5,8,6,2,213,194,364,404,437,97,319,241,378,497,292,161,120,179,80,319,26,443,202,494,226,440,153,242,183,4,168,32,348,235,120,489,44,386,138,110,153,424,304,290,258,241,99,512,81,489,417,202,235,497,296,153,298,193,161,508,453,434,32,497,18,143,47,31,63,123,253,97,181,44,259,445,287,179,191,235,246,416,337,443,500,329,259,153,322,165,168,120,20,178,138,172,138,401,363,259,396,476,475,49,1414,1282.0,132,0,1414.0,1414.0,1282.0,132.0,0.0,0.0,0.0,538689.314994093
2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,3,1,1,1,1,3,1,1,2,1,2,2,1,2,2,4,4,2,3,2,2,4,4,1,1,2,2,3,3,2,1,2,3,3,1,1,3,2,5,5,1,1,4,5,3,4,2,1,1,5,1,4,1,1,4,2,1,6,4,1,6,2,1,4,3,3,3,2,6,4,5,3,5,5,2,3,4,4,4,4,4,2,4,7,6,6,2,4,3,4,7,4,1,3,1,6,1,2,3,8,1,5,7,4,4,5,2,1,8,5,3,2,2,5,1,7,8,8,3,9,3,6,3,3,3,3,9,3,8,3,3,1,8,3,7,10,10,2,2,2,10,2,9,2,10,2,2,2,2,10,2,2,10,3,10,11,8,8,8,8,8,8,8,8,8,8,8,4,8,7,8,6,8,8,4,465,169,241,437,73,283,210,240,221,311,421,324,492,420,169,52,271,269,194,19,152,182,288,379,229,478,469,164,22,311,196,365,152,485,152,432,271,417,217,507,129,127,151,198,440,420,388,271,372,92,22,283,5,327,379,502,58,242,52,303,88,100,483,399,357,359,62,52,455,421,399,423,501,494,453,281,216,288,445,76,164,65,217,237,279,365,65,271,372,322,114,450,359,135,291,221,494,440,251,229,1295,677.0,618,0,1295.0,1295.0,677.0,618.0,0.0,0.0,0.0,783207.4604090953
2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,3,3,1,1,3,2,2,3,2,3,2,3,2,1,2,3,1,2,4,4,4,1,4,4,4,1,4,3,2,3,2,1,1,2,3,2,3,2,1,2,1,5,2,5,1,5,2,5,1,5,3,5,2,1,3,5,1,4,5,5,1,3,4,3,2,5,1,3,2,3,4,5,1,5,6,3,5,1,3,3,3,2,4,3,2,3,1,4,7,3,5,7,2,2,6,6,6,7,6,6,1,4,6,2,5,8,8,5,8,8,1,1,2,2,1,1,8,3,5,3,4,3,8,3,5,3,3,3,3,3,3,3,3,3,3,1,3,5,3,3,3,10,3,3,3,2,3,3,3,8,3,3,10,3,3,10,2,10,5,8,8,8,8,3,8,8,8,3,8,8,11,8,5,8,1,8,8,1,414,363,471,152,225,56,353,381,115,153,426,500,467,24,63,336,87,56,127,162,502,360,303,61,128,87,2,80,248,104,30,56,487,452,380,437,104,113,168,157,488,488,81,229,512,348,61,454,394,301,56,315,348,1,303,117,244,293,303,236,195,322,94,48,433,11,206,114,276,118,248,301,175,217,319,37,359,229,42,442,374,84,442,90,264,1,143,360,502,433,502,270,30,487,394,24,356,68,94,494,1586,253.0,1333,0,1586.0,1586.0,253.0,1333.0,0.0,0.0,0.0,325118.5029755393
1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,3,1,3,1,1,1,2,2,2,1,1,1,2,1,2,3,1,2,1,2,4,2,1,1,2,1,4,4,1,4,1,2,1,1,2,3,2,1,2,2,2,4,3,5,2,1,5,2,5,1,5,1,2,5,2,4,1,1,3,4,3,1,6,5,3,4,2,3,6,3,6,2,4,2,3,3,2,3,2,4,7,4,3,4,6,4,6,3,3,4,2,5,4,5,2,7,4,1,5,3,3,3,6,8,3,2,1,8,6,6,2,5,3,3,1,8,8,4,2,8,2,4,5,4,1,8,2,4,2,9,4,2,8,4,9,4,4,4,9,3,3,3,3,10,10,2,3,10,3,3,10,3,2,10,3,10,1,6,5,8,8,1,8,8,8,8,8,8,8,5,8,8,8,8,5,8,8,1,397,508,260,96,129,473,367,1,240,171,17,42,254,82,297,179,364,91,340,342,205,297,380,403,386,380,214,363,365,481,380,428,492,427,363,10,428,457,42,242,481,79,502,182,30,346,294,247,386,203,79,204,473,453,414,138,23,411,279,370,200,483,83,411,170,179,39,438,387,2,30,269,270,335,131,259,361,246,86,428,449,74,127,429,116,115,103,233,17,338,402,222,189,479,46,339,266,150,319,380,1887,861.0,1026,0,1887.0,1887.0,861.0,1026.0,0.0,0.0,0.0,206139.42538003105
1,1,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,3,1,3,3,3,2,3,1,2,2,1,3,3,3,2,2,2,1,2,2,1,2,3,1,2,3,4,4,4,1,2,2,1,4,4,2,4,1,4,1,3,5,1,5,5,1,1,1,4,2,5,1,2,5,4,1,3,2,5,3,6,2,6,2,4,6,4,4,6,6,6,6,5,1,4,7,3,2,2,1,3,3,3,4,2,6,7,2,6,3,7,3,7,6,7,8,7,5,2,2,1,4,5,5,1,8,4,7,3,4,2,3,7,7,6,3,2,8,7,9,7,9,4,2,3,8,4,3,8,8,3,3,4,1,8,6,2,2,5,2,9,7,9,2,7,2,2,7,2,7,7,2,7,3,7,11,8,8,2,2,2,8,2,2,10,8,2,6,8,10,2,9,8,8,3,460,215,66,15,326,140,195,215,232,120,274,243,482,206,110,69,127,125,217,122,153,338,27,54,69,274,174,449,29,140,504,388,269,101,125,320,156,464,82,288,13,54,114,445,12,153,223,91,426,39,215,464,56,276,27,317,450,322,139,426,257,266,502,39,90,206,449,101,300,56,13,140,445,252,195,266,79,458,391,174,176,449,130,272,111,33,13,90,54,345,206,493,152,422,431,206,326,13,45,512,1503,121.0,1382,0,1503.0,1503.0,121.0,1382.0,0.0,0.0,0.0,94788.56350623422
1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,3,3,1,3,3,3,3,3,2,1,2,2,3,3,1,1,2,4,3,3,3,1,1,2,1,4,3,2,2,4,3,3,4,1,1,2,2,5,2,1,5,4,5,2,5,1,3,1,2,1,3,2,1,4,1,3,4,1,1,2,2,4,2,1,4,6,4,4,3,2,3,1,4,4,6,4,6,4,4,4,6,1,2,4,7,5,2,4,1,6,3,7,3,5,2,3,5,4,7,1,4,8,8,1,5,7,8,2,1,3,4,5,5,8,2,4,8,3,3,3,3,9,3,5,8,3,3,8,5,3,3,8,9,3,3,3,8,3,10,3,3,3,3,10,7,3,3,3,1,3,3,9,3,3,10,8,10,7,8,8,8,8,8,8,8,11,3,8,8,3,8,8,6,9,8,8,7,158,359,460,330,307,505,356,107,489,432,219,127,209,437,280,100,454,171,320,480,454,204,189,143,40,59,405,12,240,22,274,287,285,81,321,267,147,67,432,390,127,187,158,101,163,302,204,449,315,163,501,88,207,363,480,40,72,345,67,189,128,303,352,12,345,480,54,67,288,78,501,314,51,315,330,449,317,503,483,489,207,225,12,277,19,143,222,67,40,511,333,189,204,35,238,288,274,464,331,433,2062,893.0,1169,0,2062.0,2062.0,893.0,1169.0,0.0,0.0,0.0,764308.4339127915
2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,3,1,1,3,3,3,3,1,3,2,3,1,2,2,2,2,2,3,3,1,2,1,2,2,2,3,4,4,2,4,3,4,4,3,3,3,4,3,4,5,5,5,2,1,4,5,2,3,2,4,3,1,2,2,1,5,5,2,2,1,5,1,2,1,6,2,2,3,1,2,1,5,6,5,2,4,6,4,1,4,7,1,7,6,4,4,3,7,2,4,6,2,4,2,4,2,6,7,6,6,5,4,8,8,8,8,7,1,1,4,4,4,4,8,4,6,5,5,9,8,8,2,3,9,9,8,8,2,8,2,2,8,8,8,5,3,8,9,2,10,3,7,3,3,3,7,10,10,10,8,10,3,3,10,2,10,2,4,10,3,11,11,5,3,3,8,3,2,3,3,5,11,9,3,7,8,11,2,99,416,350,260,6,394,11,37,496,70,70,405,205,325,341,49,235,40,296,102,449,153,15,108,398,449,112,252,416,391,329,269,85,40,56,218,61,360,1,95,394,453,474,155,365,56,158,170,423,234,252,423,449,214,483,449,418,120,136,335,207,74,279,405,32,122,416,96,453,234,229,360,47,258,17,483,178,331,186,170,15,170,289,354,269,293,484,433,449,307,257,252,198,370,398,423,296,341,236,269,1363,637.0,726,0,1363.0,1363.0,637.0,726.0,0.0,0.0,0.0,314253.10858834157
2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,1,2,1,3,1,2,3,1,1,3,1,2,1,1,3,2,3,2,3,2,4,2,3,3,2,4,4,4,2,1,1,2,3,4,4,3,2,2,1,1,5,3,1,2,3,5,3,3,4,4,5,4,2,4,4,2,3,4,5,3,3,3,5,2,1,4,3,1,6,3,6,3,1,6,3,1,2,3,2,5,6,4,3,7,1,4,2,4,6,3,1,4,3,6,2,6,3,7,2,2,5,2,8,2,4,2,1,3,2,8,1,8,2,7,2,2,6,3,2,8,8,8,8,3,8,8,9,8,8,3,8,3,8,8,8,3,8,6,3,7,10,3,3,3,3,3,3,6,3,10,3,10,3,3,3,1,3,3,2,7,8,3,3,2,3,2,3,11,3,4,11,11,3,3,3,3,4,8,6,1,1,92,174,37,115,350,333,480,323,137,398,45,60,214,2,104,329,260,110,238,20,20,406,98,309,391,19,115,33,89,131,398,467,229,351,349,406,301,89,12,425,38,439,369,32,448,115,115,480,192,204,416,318,150,20,214,18,223,440,230,359,351,233,74,329,192,415,214,172,38,268,406,178,261,153,172,512,231,133,152,396,131,214,298,36,362,231,301,503,281,378,324,104,280,386,458,205,208,306,20,880,826.0,54,0,880.0,880.0,826.0,54.0,0.0,0.0,0.0,867195.696938194
1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,3,3,3,1,3,3,2,2,1,3,2,2,1,1,4,2,2,2,1,4,3,2,4,3,3,1,3,1,3,1,4,2,2,4,3,4,1,1,4,3,3,1,3,4,3,1,3,5,5,2,2,1,4,5,6,4,3,4,5,5,5,6,1,3,6,1,5,1,6,1,3,6,4,4,7,2,6,7,7,2,2,6,2,7,6,6,7,2,4,7,2,3,6,5,6,1,6,3,8,8,1,8,2,8,3,8,4,5,2,3,7,4,3,8,3,8,8,5,3,2,2,8,8,2,8,9,2,8,8,2,8,9,8,1,2,2,2,2,10,8,2,4,2,2,2,4,2,8,8,8,2,8,8,1,6,2,9,11,2,2,2,8,2,11,2,11,4,2,2,2,6,8,11,11,324,500,453,486,66,184,197,231,461,263,471,230,27,203,16,428,219,208,431,402,141,416,428,262,454,406,185,136,259,454,230,177,480,93,141,162,219,123,116,124,82,266,47,109,406,255,454,177,212,150,454,504,485,238,325,24,379,344,379,203,485,459,96,325,82,454,303,100,393,406,245,91,8,263,210,373,186,243,298,245,434,50,404,276,24,168,38,317,263,265,231,40,454,30,150,98,154,152,174,45,590,469.0,121,0,590.0,590.0,469.0,121.0,0.0,0.0,0.0,219022.44956214758
1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,3,3,1,2,3,1,3,2,3,1,2,1,3,3,4,4,3,4,2,4,2,2,2,4,2,3,3,1,3,2,2,3,2,1,2,4,1,3,2,2,5,5,4,2,5,3,3,4,4,3,3,4,2,3,5,5,4,5,2,3,5,2,2,4,1,6,1,5,5,2,5,5,6,1,2,6,2,7,3,6,2,7,7,2,5,1,1,2,4,2,2,1,4,4,8,7,7,4,5,8,1,8,8,6,6,1,5,3,8,3,7,6,3,2,2,8,7,7,3,5,3,8,3,8,3,3,2,8,3,7,7,3,9,6,3,3,3,3,3,3,1,2,3,3,5,3,3,1,3,1,3,2,9,7,11,3,6,3,9,3,8,3,2,8,3,6,3,3,3,8,2,3,3,51,93,118,378,345,141,51,507,495,384,357,172,7,54,205,395,229,38,368,120,219,229,121,493,395,229,151,281,239,348,181,248,348,135,370,254,433,248,99,175,336,11,402,341,407,458,110,76,371,482,378,348,4,366,105,4,100,11,99,326,69,161,185,430,219,83,137,407,499,162,110,459,351,3,337,135,489,374,373,34,173,510,193,246,175,44,106,248,382,38,52,86,142,13,357,384,248,347,451,190,1730,1217.0,513,0,1730.0,1730.0,1217.0,513.0,0.0,0.0,0.0,1069482.2900072283
1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,3,2,1,2,1,3,2,2,1,3,3,3,2,2,1,2,3,2,3,4,3,4,2,4,2,1,4,1,3,4,1,1,3,2,4,2,4,3,1,2,3,4,3,4,4,5,5,4,5,2,3,1,5,1,3,5,1,1,6,4,3,6,4,3,1,1,3,6,5,1,3,4,1,3,3,2,2,5,3,4,7,4,4,1,4,1,6,4,6,2,3,4,1,1,2,7,1,4,2,5,4,1,7,4,5,6,3,1,8,6,1,4,4,2,5,6,5,6,8,8,5,3,8,1,6,8,2,8,2,2,7,8,2,3,8,9,7,5,7,7,9,1,7,7,3,7,7,7,1,9,10,9,2,7,2,8,1,2,3,2,11,2,2,3,2,9,9,3,2,3,3,2,3,9,8,2,7,32,14,351,89,460,380,358,177,40,93,138,466,226,172,73,390,32,267,414,189,298,480,73,251,485,138,159,439,59,32,439,201,382,420,439,269,178,172,446,367,508,442,250,136,242,400,267,285,138,330,160,420,141,435,390,400,35,421,267,56,491,264,380,201,112,442,355,56,304,442,267,251,224,439,327,358,420,419,222,366,20,130,267,327,165,336,359,32,366,183,83,439,400,246,183,442,251,93,304,304,1640,820.0,820,1,1639.0,1639.0,820.0,819.0,0.0,0.0,0.0,731795.8411528002
2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,3,3,3,2,2,2,2,3,1,3,1,2,1,2,3,1,4,4,4,2,4,4,4,4,3,2,1,4,1,1,2,2,1,4,1,4,4,4,1,1,2,1,4,2,4,5,5,3,3,5,2,5,4,3,5,1,3,6,6,4,5,1,4,3,3,6,5,3,3,6,6,3,6,4,4,3,4,2,4,2,1,3,4,1,6,5,4,7,2,3,3,6,5,1,7,3,8,5,7,5,7,6,3,3,8,6,1,5,2,2,3,8,7,8,5,5,8,1,9,2,9,5,8,8,3,3,6,3,3,3,3,9,7,3,3,10,3,10,2,10,10,3,1,3,3,9,1,3,3,3,3,3,10,8,10,5,3,10,2,3,7,3,8,7,2,2,2,5,2,6,2,8,8,2,8,300,167,314,501,512,40,199,250,207,85,21,276,512,142,225,200,276,121,477,221,262,352,292,85,189,133,317,8,466,190,142,40,388,406,53,433,7,142,437,27,141,61,321,490,39,73,220,121,130,349,216,231,154,11,422,215,401,315,122,80,394,158,282,437,506,263,266,39,246,175,141,187,411,282,420,242,277,10,94,175,276,37,422,428,476,124,358,496,39,7,264,53,53,506,73,492,128,492,3,220,602,8.0,594,68,534.0,534.0,8.0,526.0,0.0,0.0,0.0,8395.185646879174
2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,3,1,1,2,3,2,2,2,3,3,1,3,3,3,2,1,3,1,2,3,1,3,4,2,1,1,4,2,4,4,1,1,4,1,2,3,2,3,2,5,5,4,1,2,3,3,5,3,2,2,5,1,2,5,4,5,1,3,3,2,1,2,6,1,5,6,6,3,2,3,4,2,2,2,2,6,3,3,7,3,3,3,1,3,3,3,7,2,7,2,3,3,2,6,6,5,4,1,3,5,3,6,3,2,5,8,8,3,1,5,8,6,5,5,7,2,3,3,4,8,2,3,8,8,9,8,8,3,8,9,3,2,8,3,2,2,3,2,2,10,10,10,10,10,2,10,2,2,2,7,2,2,10,2,2,2,3,5,3,2,11,11,1,3,2,8,11,11,2,2,11,11,2,11,7,8,9,3,259,108,75,303,200,36,321,163,375,344,36,280,375,1,46,383,460,501,125,104,345,192,282,318,192,125,153,478,30,192,79,60,412,412,383,36,472,196,330,395,152,383,174,221,429,280,258,9,495,280,152,405,36,221,60,19,320,188,400,405,255,173,470,212,152,344,84,82,82,429,82,328,439,260,303,443,120,142,399,330,192,36,303,374,445,355,507,330,58,102,375,280,375,136,102,212,382,236,414,344,2045,1117.0,928,0,2045.0,2045.0,1117.0,928.0,0.0,0.0,0.0,338354.72238393873
2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,3,1,3,3,2,2,3,3,3,1,3,1,3,2,3,2,1,3,3,2,3,1,2,2,2,4,1,4,1,3,4,3,4,4,2,2,3,5,1,2,5,5,5,4,2,4,2,5,5,2,2,5,2,3,3,3,5,6,4,6,2,4,1,1,1,6,6,5,6,5,5,2,2,2,2,6,5,4,7,3,3,5,2,4,7,5,1,3,1,3,4,7,3,7,2,3,2,4,7,2,8,3,8,2,2,2,5,7,3,3,3,3,2,7,3,2,7,4,2,8,5,1,9,8,2,8,2,8,4,2,2,8,4,6,4,2,1,5,3,3,10,3,3,10,4,6,3,3,1,10,10,3,3,3,3,2,1,6,2,2,2,2,2,11,8,2,11,2,2,4,11,2,11,3,8,11,1,346,351,95,6,398,3,147,78,25,235,283,55,428,127,296,289,241,366,116,13,113,57,178,312,475,315,131,29,496,113,259,199,351,351,283,194,504,387,475,488,496,439,335,72,366,447,104,55,98,366,447,3,163,232,250,401,237,394,234,249,127,186,203,361,199,384,447,1,315,494,346,287,183,138,510,504,451,30,278,49,330,5,361,436,379,207,16,109,351,483,304,22,199,19,374,234,297,199,198,156,955,534.0,421,0,955.0,955.0,534.0,421.0,0.0,0.0,0.0,341382.1821342906
2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,1,2,2,1,3,3,1,3,1,3,2,3,3,3,2,3,4,2,2,2,4,2,2,4,4,2,4,1,3,4,1,2,2,3,3,4,2,1,3,4,2,3,4,1,5,5,2,3,5,5,3,4,5,5,1,2,2,2,2,5,6,3,2,1,3,6,5,3,4,2,3,5,6,4,6,1,2,3,3,3,1,3,7,6,5,6,3,3,4,7,3,3,6,6,1,7,7,6,3,3,1,1,8,1,5,2,7,2,5,6,8,8,1,7,5,8,9,8,2,3,1,3,9,8,2,3,8,1,3,2,2,6,1,9,9,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,3,8,4,4,11,3,11,11,8,3,8,3,9,3,11,5,3,11,3,11,8,11,1,369,227,424,346,450,200,391,344,227,452,180,227,180,285,36,129,136,333,352,251,372,425,227,19,409,454,122,349,322,200,59,205,445,3,156,111,262,111,292,24,349,171,503,156,38,15,172,44,44,304,285,370,332,272,274,472,280,216,84,227,147,405,74,418,332,333,448,130,5,495,146,495,315,227,372,332,383,68,253,332,180,476,135,486,388,445,253,381,425,31,488,370,303,374,227,97,115,454,479,19,1344,1293.0,51,79,1265.0,1265.0,1214.0,51.0,0.0,0.0,0.0,460195.43253238784
2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,3,1,3,3,1,2,1,1,3,1,2,2,2,1,1,4,3,1,3,4,4,1,2,1,2,2,3,1,4,1,4,1,4,2,3,1,1,1,2,2,1,4,1,2,3,4,5,1,2,2,5,2,3,2,6,6,2,3,2,5,6,2,1,3,3,5,2,4,4,3,3,3,5,6,1,3,3,5,1,6,3,3,7,3,1,3,7,5,3,2,3,7,5,7,6,8,3,1,4,8,7,8,5,3,1,8,8,3,3,8,1,5,3,3,1,8,8,3,1,3,5,8,8,3,8,3,3,8,8,6,8,5,2,5,4,2,10,2,2,2,2,8,10,2,10,10,2,2,10,2,1,2,8,3,7,3,3,3,3,10,10,8,3,10,3,3,1,11,6,10,1,8,3,2,288,197,345,132,219,278,313,32,295,180,338,119,252,470,94,338,479,342,500,482,183,397,444,413,221,397,87,413,258,80,119,429,430,119,189,362,459,295,65,261,166,303,453,359,263,364,47,110,494,453,214,313,80,409,310,404,24,244,240,313,172,10,124,255,119,42,17,404,364,431,208,102,196,80,175,48,20,281,403,464,430,32,119,295,30,407,460,279,404,332,366,183,255,116,295,203,412,65,330,221,1487,891.0,596,1,1486.0,1486.0,891.0,595.0,0.0,0.0,0.0,814317.8577228797
